Tileset_Name "Charlie_Falling"
Tileset_Type "Animation"
Tileset_FileName "Charlie_Falling_Animation_Tileset.png"
Tileset_TopLeftX "0"
Tileset_TopLeftY "0"
Tileset_SizeX "512"
Tileset_SizeY "1024"
Tileset_NumOfSubSets "8"
  SubSet_Name "Down_Facing_Falling"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "0"
  SubSet_SizeX "512"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "4"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "16"
    Frame_CollisionBlock_TopLeftY "-32"
    Frame_CollisionBlock_SizeX "96"
    Frame_CollisionBlock_SizeY "68"
    Frame_CollisionBlock_Contact "N"	
    Frame_ID "2"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "144"
    Frame_CollisionBlock_TopLeftY "-28"
    Frame_CollisionBlock_SizeX "92"
    Frame_CollisionBlock_SizeY "68"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "3"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "272"
    Frame_CollisionBlock_TopLeftY "-28"
    Frame_CollisionBlock_SizeX "92"
    Frame_CollisionBlock_SizeY "72"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "4"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "400"
    Frame_CollisionBlock_TopLeftY "-28"
    Frame_CollisionBlock_SizeX "96"
    Frame_CollisionBlock_SizeY "72"
    Frame_CollisionBlock_Contact "N"
  SubSet_Name "Down_Facing_Falling_To_Death"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-128"
  SubSet_SizeX "512"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "4"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "N"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "8"
    Frame_CollisionBlock_TopLeftY "-220"
    Frame_CollisionBlock_SizeX "112"
    Frame_CollisionBlock_SizeY "36"
    Frame_CollisionBlock_Contact "Y"
    Frame_ID "2"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "136"
    Frame_CollisionBlock_TopLeftY "-220"
    Frame_CollisionBlock_SizeX "112"
    Frame_CollisionBlock_SizeY "36"
    Frame_CollisionBlock_Contact "Y"
    Frame_ID "3"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "264"
    Frame_CollisionBlock_TopLeftY "-220"
    Frame_CollisionBlock_SizeX "112"
    Frame_CollisionBlock_SizeY "36"
    Frame_CollisionBlock_Contact "Y"
    Frame_ID "4"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "392"
    Frame_CollisionBlock_TopLeftY "-220"
    Frame_CollisionBlock_SizeX "112"
    Frame_CollisionBlock_SizeY "36"
    Frame_CollisionBlock_Contact "Y"
  SubSet_Name "Down_Facing_Death"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-256"
  SubSet_SizeX "512"
